"[0.465, 0.196, -0.127]","[0.483, 0.188, -0.073]","[0.496, 0.189, -0.073]","[0.506, 0.191, -0.073]","[0.455, 0.187, -0.085]","[0.446, 0.187, -0.086]","[0.436, 0.188, -0.086]","[0.515, 0.205, 0.151]","[0.411, 0.199, 0.098]","[0.489, 0.215, -0.04]","[0.447, 0.211, -0.062]","[0.569, 0.274, 0.179]","[0.338, 0.256, 0.064]","[0.65, 0.176, -0.01]","[0.306, 0.149, -0.185]","[0.62, 0.066, -0.255]","[0.281, 0.033, -0.364]","[0.623, 0.04, -0.316]","[0.256, 0.019, -0.442]","[0.601, 0.037, -0.324]","[0.268, 0.011, -0.444]","[0.593, 0.047, -0.268]","[0.282, 0.018, -0.383]","[0.526, 0.499, 0.059]","[0.35, 0.499, -0.06]","[0.518, 0.69, 0.07]","[0.327, 0.679, -0.161]","[0.505, 0.853, 0.323]","[0.288, 0.854, 0.044]","[0.48, 0.862, 0.331]","[0.288, 0.87, 0.055]","[0.518, 0.932, 0.039]","[0.273, 0.934, -0.245]"
"[0.462, 0.202, -0.116]","[0.481, 0.193, -0.066]","[0.493, 0.195, -0.066]","[0.504, 0.197, -0.066]","[0.452, 0.191, -0.075]","[0.443, 0.192, -0.076]","[0.434, 0.192, -0.076]","[0.513, 0.209, 0.152]","[0.41, 0.201, 0.112]","[0.484, 0.219, -0.031]","[0.444, 0.216, -0.049]","[0.56, 0.277, 0.179]","[0.332, 0.255, 0.088]","[0.64, 0.178, -0.006]","[0.314, 0.151, -0.141]","[0.618, 0.066, -0.234]","[0.289, 0.036, -0.3]","[0.619, 0.043, -0.293]","[0.27, 0.016, -0.376]","[0.596, 0.039, -0.298]","[0.285, 0.01, -0.375]","[0.589, 0.048, -0.246]","[0.297, 0.02, -0.318]","[0.523, 0.5, 0.051]","[0.349, 0.499, -0.052]","[0.514, 0.691, 0.062]","[0.316, 0.686, -0.144]","[0.498, 0.854, 0.307]","[0.28, 0.854, 0.097]","[0.476, 0.864, 0.314]","[0.282, 0.869, 0.111]","[0.515, 0.931, 0.018]","[0.263, 0.936, -0.185]"
"[0.455, 0.205, -0.079]","[0.475, 0.195, -0.03]","[0.487, 0.197, -0.03]","[0.498, 0.198, -0.03]","[0.445, 0.194, -0.04]","[0.437, 0.195, -0.041]","[0.427, 0.195, -0.042]","[0.507, 0.21, 0.177]","[0.402, 0.205, 0.132]","[0.479, 0.223, 0.002]","[0.437, 0.22, -0.018]","[0.557, 0.28, 0.192]","[0.329, 0.259, 0.11]","[0.64, 0.178, 0.018]","[0.3, 0.148, -0.096]","[0.614, 0.068, -0.198]","[0.281, 0.037, -0.224]","[0.614, 0.045, -0.252]","[0.263, 0.021, -0.291]","[0.589, 0.042, -0.259]","[0.277, 0.014, -0.29]","[0.583, 0.05, -0.21]","[0.289, 0.022, -0.241]","[0.518, 0.501, 0.038]","[0.343, 0.499, -0.039]","[0.506, 0.691, 0.065]","[0.311, 0.685, -0.157]","[0.494, 0.854, 0.273]","[0.275, 0.858, 0.054]","[0.473, 0.865, 0.277]","[0.28, 0.872, 0.066]","[0.511, 0.932, -0.001]","[0.253, 0.94, -0.211]"
"[0.451, 0.203, -0.114]","[0.469, 0.193, -0.065]","[0.481, 0.194, -0.066]","[0.492, 0.196, -0.066]","[0.441, 0.192, -0.074]","[0.432, 0.192, -0.075]","[0.423, 0.193, -0.076]","[0.503, 0.21, 0.146]","[0.4, 0.203, 0.105]","[0.473, 0.22, -0.031]","[0.433, 0.217, -0.05]","[0.55, 0.28, 0.163]","[0.322, 0.257, 0.091]","[0.633, 0.179, -0.027]","[0.302, 0.148, -0.131]","[0.607, 0.066, -0.237]","[0.276, 0.034, -0.272]","[0.605, 0.045, -0.292]","[0.256, 0.017, -0.339]","[0.582, 0.041, -0.293]","[0.264, 0.009, -0.337]","[0.577, 0.048, -0.246]","[0.281, 0.017, -0.288]","[0.512, 0.502, 0.041]","[0.335, 0.503, -0.042]","[0.508, 0.691, 0.073]","[0.305, 0.688, -0.136]","[0.491, 0.853, 0.292]","[0.27, 0.859, 0.057]","[0.465, 0.864, 0.297]","[0.274, 0.876, 0.066]","[0.504, 0.93, 0.011]","[0.253, 0.937, -0.227]"
"[0.446, 0.202, -0.137]","[0.466, 0.194, -0.084]","[0.479, 0.195, -0.085]","[0.491, 0.197, -0.085]","[0.436, 0.193, -0.095]","[0.427, 0.193, -0.096]","[0.418, 0.194, -0.097]","[0.5, 0.21, 0.134]","[0.394, 0.203, 0.086]","[0.471, 0.219, -0.051]","[0.428, 0.216, -0.072]","[0.548, 0.283, 0.158]","[0.322, 0.258, 0.057]","[0.63, 0.181, -0.036]","[0.298, 0.15, -0.187]","[0.608, 0.068, -0.257]","[0.272, 0.035, -0.342]","[0.607, 0.043, -0.312]","[0.251, 0.014, -0.415]","[0.584, 0.039, -0.317]","[0.267, 0.008, -0.412]","[0.577, 0.048, -0.268]","[0.28, 0.018, -0.359]","[0.506, 0.505, 0.051]","[0.334, 0.502, -0.052]","[0.495, 0.696, 0.071]","[0.304, 0.686, -0.156]","[0.481, 0.861, 0.292]","[0.259, 0.856, 0.039]","[0.462, 0.872, 0.296]","[0.261, 0.873, 0.049]","[0.498, 0.935, 0.012]","[0.24, 0.936, -0.241]"
"[0.443, 0.2, -0.158]","[0.462, 0.192, -0.102]","[0.474, 0.194, -0.103]","[0.486, 0.196, -0.103]","[0.434, 0.19, -0.111]","[0.425, 0.191, -0.112]","[0.415, 0.191, -0.113]","[0.495, 0.209, 0.136]","[0.392, 0.2, 0.096]","[0.466, 0.218, -0.065]","[0.425, 0.214, -0.084]","[0.545, 0.277, 0.165]","[0.316, 0.25, 0.069]","[0.628, 0.177, -0.037]","[0.297, 0.144, -0.179]","[0.606, 0.063, -0.251]","[0.27, 0.029, -0.326]","[0.606, 0.04, -0.307]","[0.249, 0.011, -0.403]","[0.583, 0.037, -0.311]","[0.264, 0.004, -0.397]","[0.576, 0.045, -0.261]","[0.276, 0.012, -0.341]","[0.502, 0.505, 0.055]","[0.327, 0.503, -0.056]","[0.491, 0.695, 0.096]","[0.292, 0.686, -0.122]","[0.481, 0.851, 0.364]","[0.253, 0.858, 0.061]","[0.458, 0.865, 0.372]","[0.257, 0.875, 0.067]","[0.494, 0.928, 0.058]","[0.238, 0.934, -0.267]"
"[0.44, 0.196, -0.146]","[0.459, 0.188, -0.09]","[0.471, 0.19, -0.091]","[0.483, 0.192, -0.091]","[0.431, 0.187, -0.103]","[0.422, 0.188, -0.104]","[0.412, 0.189, -0.104]","[0.492, 0.205, 0.141]","[0.387, 0.198, 0.087]","[0.463, 0.214, -0.056]","[0.422, 0.21, -0.078]","[0.544, 0.277, 0.177]","[0.311, 0.248, 0.05]","[0.624, 0.174, -0.005]","[0.288, 0.141, -0.193]","[0.603, 0.062, -0.22]","[0.255, 0.027, -0.336]","[0.604, 0.038, -0.275]","[0.232, 0.009, -0.411]","[0.579, 0.035, -0.282]","[0.241, -0.001, -0.409]","[0.572, 0.043, -0.232]","[0.26, 0.008, -0.353]","[0.499, 0.498, 0.062]","[0.326, 0.497, -0.063]","[0.484, 0.688, 0.096]","[0.298, 0.685, -0.15]","[0.473, 0.852, 0.331]","[0.248, 0.855, 0.024]","[0.448, 0.865, 0.335]","[0.249, 0.871, 0.03]","[0.488, 0.928, 0.034]","[0.229, 0.933, -0.286]"
"[0.437, 0.2, -0.189]","[0.459, 0.19, -0.136]","[0.472, 0.192, -0.137]","[0.484, 0.194, -0.137]","[0.427, 0.189, -0.145]","[0.418, 0.189, -0.146]","[0.408, 0.19, -0.146]","[0.492, 0.205, 0.089]","[0.382, 0.199, 0.051]","[0.463, 0.218, -0.102]","[0.419, 0.214, -0.119]","[0.54, 0.275, 0.11]","[0.31, 0.249, 0.023]","[0.618, 0.172, -0.12]","[0.289, 0.145, -0.234]","[0.597, 0.059, -0.347]","[0.272, 0.03, -0.388]","[0.597, 0.034, -0.408]","[0.26, 0.012, -0.464]","[0.574, 0.031, -0.41]","[0.274, 0.006, -0.457]","[0.566, 0.041, -0.358]","[0.29, 0.016, -0.403]","[0.497, 0.499, 0.05]","[0.322, 0.498, -0.051]","[0.482, 0.683, 0.077]","[0.29, 0.677, -0.166]","[0.471, 0.835, 0.313]","[0.242, 0.847, -0.004]","[0.448, 0.851, 0.319]","[0.244, 0.868, 0.001]","[0.481, 0.917, 0.029]","[0.228, 0.926, -0.307]"
"[0.436, 0.195, -0.121]","[0.454, 0.184, -0.073]","[0.466, 0.185, -0.074]","[0.477, 0.186, -0.074]","[0.425, 0.183, -0.084]","[0.416, 0.183, -0.085]","[0.406, 0.183, -0.085]","[0.485, 0.199, 0.128]","[0.383, 0.191, 0.083]","[0.459, 0.213, -0.042]","[0.418, 0.211, -0.061]","[0.532, 0.272, 0.135]","[0.307, 0.249, 0.062]","[0.611, 0.17, -0.06]","[0.292, 0.14, -0.168]","[0.583, 0.052, -0.273]","[0.264, 0.025, -0.302]","[0.584, 0.03, -0.328]","[0.24, 0.006, -0.366]","[0.563, 0.027, -0.329]","[0.256, 0.001, -0.366]","[0.555, 0.036, -0.282]","[0.27, 0.011, -0.319]","[0.495, 0.492, 0.04]","[0.322, 0.489, -0.041]","[0.484, 0.675, 0.088]","[0.285, 0.673, -0.166]","[0.466, 0.835, 0.286]","[0.239, 0.845, 0.004]","[0.445, 0.848, 0.289]","[0.237, 0.859, 0.012]","[0.475, 0.911, 0.026]","[0.221, 0.927, -0.259]"
"[0.427, 0.19, -0.201]","[0.444, 0.18, -0.156]","[0.456, 0.181, -0.157]","[0.468, 0.183, -0.157]","[0.416, 0.179, -0.164]","[0.408, 0.18, -0.165]","[0.398, 0.18, -0.166]","[0.479, 0.196, 0.043]","[0.378, 0.189, 0.008]","[0.45, 0.208, -0.122]","[0.41, 0.205, -0.139]","[0.531, 0.265, 0.064]","[0.299, 0.243, -0.007]","[0.613, 0.166, -0.144]","[0.282, 0.134, -0.238]","[0.582, 0.053, -0.357]","[0.262, 0.022, -0.374]","[0.584, 0.028, -0.415]","[0.247, 0.006, -0.444]","[0.561, 0.025, -0.417]","[0.259, 0.0, -0.44]","[0.554, 0.034, -0.367]","[0.271, 0.008, -0.39]","[0.49, 0.487, 0.039]","[0.313, 0.488, -0.039]","[0.473, 0.675, 0.079]","[0.279, 0.672, -0.137]","[0.461, 0.84, 0.265]","[0.244, 0.839, 0.067]","[0.441, 0.854, 0.266]","[0.25, 0.85, 0.077]","[0.475, 0.914, -0.014]","[0.219, 0.914, -0.197]"
